Symbol,MinDate,MaxDate,TotalRows
RSG,2022-12-19 09:30:00,2024-12-19 10:30:00,40175
EXPD,2022-12-19 09:30:00,2024-12-19 09:40:00,40137
INVH,2022-12-19 09:30:00,2024-12-19 10:00:00,40633
GWW,2022-12-19 09:30:00,2024-12-19 10:50:00,35578
ANSS,2022-12-19 09:25:00,2024-12-19 07:55:00,39259
O,2022-12-19 08:00:00,2024-12-19 10:30:00,58029
IFF,2022-12-19 07:45:00,2024-12-19 09:55:00,40843
BR,2022-12-19 09:30:00,2024-12-18 16:00:00,39213
V,2022-12-19 08:00:00,2024-12-19 10:45:00,46922
SOLV,2024-04-01 03:20:00,2024-12-19 10:35:00,15209
CCI,2022-12-19 09:30:00,2024-12-19 09:30:00,41523
TRV,2022-12-19 08:55:00,2024-12-19 10:40:00,40713
HPE,2022-12-19 08:20:00,2024-12-19 09:50:00,48606
AVGO,2022-12-19 07:40:00,2024-12-19 09:15:00,57192
PFE,2022-12-19 04:00:00,2024-12-19 10:25:00,76847
EFX,2022-12-19 09:30:00,2024-12-19 09:40:00,40192
BRO,2022-12-19 09:30:00,2024-12-18 19:50:00,40271
ROP,2022-12-19 09:30:00,2024-12-19 10:30:00,39030
AMP,2022-12-19 09:30:00,2024-12-19 09:05:00,39285
VRTX,2022-12-19 09:25:00,2024-12-19 10:45:00,41500
TER,2022-12-19 09:30:00,2024-12-19 10:40:00,42246
AMZN,2022-12-19 04:00:00,2024-12-19 09:05:00,91331
VRSN,2022-12-19 09:30:00,2024-12-19 10:45:00,39790
HES,2022-12-19 09:20:00,2024-12-19 09:50:00,41680
BAC,2022-12-19 04:25:00,2024-12-19 09:15:00,75088
MTCH,2022-12-19 09:25:00,2024-12-19 10:10:00,45310
DTE,2022-12-19 09:30:00,2024-12-19 09:35:00,40091
NUE,2022-12-19 07:00:00,2024-12-19 10:20:00,42068
EA,2022-12-19 09:30:00,2024-12-19 09:40:00,41889
CE,2022-12-19 09:30:00,2024-12-19 09:00:00,40392
MSI,2022-12-19 09:30:00,2024-12-19 10:15:00,39877
FI,2022-12-19 09:30:00,2024-12-19 09:45:00,41032
BBY,2022-12-19 06:30:00,2024-12-18 17:40:00,43457
PCAR,2022-12-19 07:25:00,2024-12-19 10:20:00,41650
MHK,2022-12-19 09:30:00,2024-12-19 10:10:00,39889
SHW,2022-12-19 09:30:00,2024-12-19 10:35:00,40643
SNPS,2022-12-19 09:20:00,2024-12-19 10:35:00,41599
ENPH,2022-12-19 06:45:00,2024-12-19 09:40:00,58686
AON,2022-12-19 09:30:00,2024-12-18 18:20:00,40096
TXN,2022-12-19 09:30:00,2024-12-19 10:40:00,46082
ES,2022-12-19 09:30:00,2024-12-19 09:40:00,40437
STE,2022-12-19 09:30:00,2024-12-19 10:35:00,39113
BA,2022-12-19 04:05:00,2024-12-19 09:15:00,66093
PSX,2022-12-19 08:40:00,2024-12-19 10:25:00,43016
HAL,2022-12-19 05:10:00,2024-12-19 09:50:00,50628
BF.B,2022-12-19 09:30:00,2024-12-18 16:00:00,40271
ON,2022-12-19 06:20:00,2024-12-19 10:20:00,52332
PHM,2022-12-19 07:15:00,2024-12-19 10:25:00,42348
MPC,2022-12-19 04:30:00,2024-12-19 10:05:00,43556
L,2022-12-19 09:30:00,2024-12-19 10:05:00,39954
PRU,2022-12-19 09:30:00,2024-12-19 10:25:00,41589
FOXA,2022-12-19 09:30:00,2024-12-19 09:45:00,40861
MMM,2022-12-19 08:50:00,2024-12-19 08:00:00,48242
UNH,2022-12-19 08:45:00,2024-12-19 10:45:00,45636
DD,2022-12-19 08:00:00,2024-12-19 09:35:00,41999
NOW,2022-12-19 08:10:00,2024-12-19 10:35:00,43869
AKAM,2022-12-19 07:35:00,2024-12-19 07:20:00,41589
DG,2022-12-19 08:05:00,2024-12-19 09:35:00,45141
TFX,2022-12-19 09:30:00,2024-12-19 10:40:00,37146
CRM,2022-12-19 07:00:00,2024-12-19 10:30:00,53505
NVR,2022-12-19 09:30:00,2024-12-19 10:20:00,34023
PKG,2022-12-19 09:30:00,2024-12-19 10:20:00,39589
HOLX,2022-12-19 09:25:00,2024-12-19 09:50:00,40417
CVS,2022-12-19 09:00:00,2024-12-19 09:30:00,52632
AES,2022-12-19 08:30:00,2024-12-19 09:00:00,43939
ELV,2022-12-19 09:30:00,2024-12-19 09:40:00,40772
ALGN,2022-12-19 09:30:00,2024-12-18 17:50:00,41175
PLD,2022-12-19 09:30:00,2024-12-19 10:25:00,41325
PNR,2022-12-19 09:25:00,2024-12-19 10:25:00,40170
DUK,2022-12-19 07:00:00,2024-12-19 09:35:00,42304
