Symbol,MinDate,MaxDate,TotalRows,Quality
RSG,2022-12-19 09:30:00,2024-12-19 10:30:00,40175,Moderada
EXPD,2022-12-19 09:30:00,2024-12-19 09:40:00,40137,Moderada
INVH,2022-12-19 09:30:00,2024-12-19 10:00:00,40633,Moderada
GWW,2022-12-19 09:30:00,2024-12-19 10:50:00,35578,Baja
ANSS,2022-12-19 09:25:00,2024-12-19 07:55:00,39259,Baja
O,2022-12-19 08:00:00,2024-12-19 10:30:00,58029,Alta
IFF,2022-12-19 07:45:00,2024-12-19 09:55:00,40843,Moderada
BR,2022-12-19 09:30:00,2024-12-18 16:00:00,39213,Baja
V,2022-12-19 08:00:00,2024-12-19 10:45:00,46922,Moderada
SOLV,2024-04-01 03:20:00,2024-12-19 10:35:00,15209,Baja
CCI,2022-12-19 09:30:00,2024-12-19 09:30:00,41523,Moderada
TRV,2022-12-19 08:55:00,2024-12-19 10:40:00,40713,Moderada
HPE,2022-12-19 08:20:00,2024-12-19 09:50:00,48606,Moderada
AVGO,2022-12-19 07:40:00,2024-12-19 09:15:00,57192,Alta
PFE,2022-12-19 04:00:00,2024-12-19 10:25:00,76847,Alta
EFX,2022-12-19 09:30:00,2024-12-19 09:40:00,40192,Moderada
BRO,2022-12-19 09:30:00,2024-12-18 19:50:00,40271,Moderada
ROP,2022-12-19 09:30:00,2024-12-19 10:30:00,39030,Baja
AMP,2022-12-19 09:30:00,2024-12-19 09:05:00,39285,Baja
VRTX,2022-12-19 09:25:00,2024-12-19 10:45:00,41500,Moderada
TER,2022-12-19 09:30:00,2024-12-19 10:40:00,42246,Moderada
AMZN,2022-12-19 04:00:00,2024-12-19 09:05:00,91331,Alta
VRSN,2022-12-19 09:30:00,2024-12-19 10:45:00,39790,Baja
HES,2022-12-19 09:20:00,2024-12-19 09:50:00,41680,Moderada
BAC,2022-12-19 04:25:00,2024-12-19 09:15:00,75088,Alta
MTCH,2022-12-19 09:25:00,2024-12-19 10:10:00,45310,Moderada
DTE,2022-12-19 09:30:00,2024-12-19 09:35:00,40091,Moderada
NUE,2022-12-19 07:00:00,2024-12-19 10:20:00,42068,Moderada
EA,2022-12-19 09:30:00,2024-12-19 09:40:00,41889,Moderada
CE,2022-12-19 09:30:00,2024-12-19 09:00:00,40392,Moderada
MSI,2022-12-19 09:30:00,2024-12-19 10:15:00,39877,Baja
FI,2022-12-19 09:30:00,2024-12-19 09:45:00,41032,Moderada
BBY,2022-12-19 06:30:00,2024-12-18 17:40:00,43457,Moderada
PCAR,2022-12-19 07:25:00,2024-12-19 10:20:00,41650,Moderada
MHK,2022-12-19 09:30:00,2024-12-19 10:10:00,39889,Baja
SHW,2022-12-19 09:30:00,2024-12-19 10:35:00,40643,Moderada
SNPS,2022-12-19 09:20:00,2024-12-19 10:35:00,41599,Moderada
ENPH,2022-12-19 06:45:00,2024-12-19 09:40:00,58686,Alta
AON,2022-12-19 09:30:00,2024-12-18 18:20:00,40096,Moderada
TXN,2022-12-19 09:30:00,2024-12-19 10:40:00,46082,Moderada
ES,2022-12-19 09:30:00,2024-12-19 09:40:00,40437,Moderada
STE,2022-12-19 09:30:00,2024-12-19 10:35:00,39113,Baja
BA,2022-12-19 04:05:00,2024-12-19 09:15:00,66093,Alta
PSX,2022-12-19 08:40:00,2024-12-19 10:25:00,43016,Moderada
HAL,2022-12-19 05:10:00,2024-12-19 09:50:00,50628,Alta
BF.B,2022-12-19 09:30:00,2024-12-18 16:00:00,40271,Moderada
ON,2022-12-19 06:20:00,2024-12-19 10:20:00,52332,Alta
PHM,2022-12-19 07:15:00,2024-12-19 10:25:00,42348,Moderada
MPC,2022-12-19 04:30:00,2024-12-19 10:05:00,43556,Moderada
L,2022-12-19 09:30:00,2024-12-19 10:05:00,39954,Baja
PRU,2022-12-19 09:30:00,2024-12-19 10:25:00,41589,Moderada
FOXA,2022-12-19 09:30:00,2024-12-19 09:45:00,40861,Moderada
MMM,2022-12-19 08:50:00,2024-12-19 08:00:00,48242,Moderada
UNH,2022-12-19 08:45:00,2024-12-19 10:45:00,45636,Moderada
DD,2022-12-19 08:00:00,2024-12-19 09:35:00,41999,Moderada
NOW,2022-12-19 08:10:00,2024-12-19 10:35:00,43869,Moderada
AKAM,2022-12-19 07:35:00,2024-12-19 07:20:00,41589,Moderada
DG,2022-12-19 08:05:00,2024-12-19 09:35:00,45141,Moderada
TFX,2022-12-19 09:30:00,2024-12-19 10:40:00,37146,Baja
CRM,2022-12-19 07:00:00,2024-12-19 10:30:00,53505,Alta
NVR,2022-12-19 09:30:00,2024-12-19 10:20:00,34023,Baja
PKG,2022-12-19 09:30:00,2024-12-19 10:20:00,39589,Baja
HOLX,2022-12-19 09:25:00,2024-12-19 09:50:00,40417,Moderada
CVS,2022-12-19 09:00:00,2024-12-19 09:30:00,52632,Alta
AES,2022-12-19 08:30:00,2024-12-19 09:00:00,43939,Moderada
ELV,2022-12-19 09:30:00,2024-12-19 09:40:00,40772,Moderada
ALGN,2022-12-19 09:30:00,2024-12-18 17:50:00,41175,Moderada
PLD,2022-12-19 09:30:00,2024-12-19 10:25:00,41325,Moderada
PNR,2022-12-19 09:25:00,2024-12-19 10:25:00,40170,Moderada
DUK,2022-12-19 07:00:00,2024-12-19 09:35:00,42304,Moderada
GRMN,2022-12-19 09:30:00,2024-12-19 09:45:00,40175,Moderada
CTSH,2022-12-19 08:00:00,2024-12-19 09:25:00,41631,Moderada
UPS,2022-12-19 07:00:00,2024-12-19 10:45:00,45639,Moderada
CZR,2022-12-19 09:05:00,2024-12-19 09:20:00,44860,Moderada
PAYC,2022-12-19 09:30:00,2024-12-19 10:25:00,40883,Moderada
MMC,2022-12-19 09:30:00,2024-12-19 10:05:00,40276,Moderada
D,2022-12-19 08:00:00,2024-12-19 09:35:00,43325,Moderada
SWKS,2022-12-19 09:30:00,2024-12-19 10:35:00,43165,Moderada
IDXX,2022-12-19 07:15:00,2024-12-19 09:55:00,39305,Baja
TRMB,2022-12-19 09:30:00,2024-12-19 10:40:00,40467,Moderada
RMD,2022-12-19 09:30:00,2024-12-19 10:30:00,40977,Moderada
FTV,2022-12-19 09:30:00,2024-12-19 09:45:00,40257,Moderada
TECH,2022-12-19 09:30:00,2024-12-19 06:55:00,40107,Moderada
ZTS,2022-12-19 09:30:00,2024-12-19 10:55:00,40956,Moderada
ARE,2022-12-19 09:30:00,2024-12-19 09:05:00,40505,Moderada
BMY,2022-12-19 08:15:00,2024-12-19 09:10:00,50375,Alta
HUM,2022-12-19 09:30:00,2024-12-19 09:55:00,42783,Moderada
AMAT,2022-12-19 08:00:00,2024-12-19 09:05:00,53538,Alta
LDOS,2022-12-19 09:25:00,2024-12-19 10:05:00,40402,Moderada
TROW,2022-12-19 09:10:00,2024-12-19 10:40:00,41006,Moderada
EMN,2022-12-19 09:30:00,2024-12-19 09:35:00,40126,Moderada
HON,2022-12-19 07:10:00,2024-12-19 09:55:00,43462,Moderada
NEE,2022-12-19 06:00:00,2024-12-19 10:15:00,49050,Moderada
ABT,2022-12-19 08:00:00,2024-12-19 09:00:00,43927,Moderada
HIG,2022-12-19 09:25:00,2024-12-19 09:50:00,40337,Moderada
PG,2022-12-19 08:30:00,2024-12-19 10:25:00,45980,Moderada
ALL,2022-12-19 09:30:00,2024-12-18 17:05:00,40684,Moderada
COR,2022-12-19 09:30:00,2024-12-19 07:20:00,40293,Moderada
DHI,2022-12-19 08:00:00,2024-12-19 09:35:00,43572,Moderada
SPG,2022-12-19 08:50:00,2024-12-19 10:35:00,41577,Moderada
BWA,2022-12-19 09:30:00,2024-12-18 17:05:00,41003,Moderada
QRVO,2022-12-19 09:25:00,2024-12-19 10:30:00,41659,Moderada
AMGN,2022-12-19 09:30:00,2024-12-19 08:30:00,43554,Moderada
USB,2022-12-19 09:25:00,2024-12-19 10:45:00,48078,Moderada
LKQ,2022-12-19 09:30:00,2024-12-19 10:05:00,40334,Moderada
STT,2022-12-19 09:30:00,2024-12-19 10:35:00,41037,Moderada
MLM,2022-12-19 09:30:00,2024-12-19 10:05:00,38906,Baja
SBAC,2022-12-19 09:30:00,2024-12-19 10:30:00,40064,Moderada
GEN,2022-12-19 09:30:00,2024-12-19 09:50:00,41334,Moderada
AFL,2022-12-19 09:30:00,2024-12-19 06:15:00,40908,Moderada
GLW,2022-12-19 08:00:00,2024-12-19 09:30:00,43651,Moderada
HRL,2022-12-19 09:30:00,2024-12-19 09:55:00,41601,Moderada
GOOGL,2022-12-19 04:00:00,2024-12-19 09:05:00,84941,Alta
TRGP,2022-12-19 09:30:00,2024-12-19 10:40:00,40398,Moderada
KLAC,2022-12-19 09:30:00,2024-12-19 10:00:00,41945,Moderada
FICO,2022-12-19 09:30:00,2024-12-19 09:45:00,31251,Baja
MNST,2022-12-19 09:30:00,2024-12-19 10:15:00,43625,Moderada
GDDY,2022-12-19 09:30:00,2024-12-19 09:50:00,40760,Moderada
NXPI,2022-12-19 07:00:00,2024-12-19 10:20:00,43724,Moderada
CSGP,2022-12-19 08:25:00,2024-12-19 09:30:00,40932,Moderada
AJG,2022-12-19 09:30:00,2024-12-18 17:05:00,40152,Moderada
ADM,2022-12-19 06:25:00,2024-12-19 08:45:00,43292,Moderada
TAP,2022-12-19 09:30:00,2024-12-19 10:10:00,40761,Moderada
PPL,2022-12-19 09:25:00,2024-12-19 10:25:00,41182,Moderada
LRCX,2022-12-19 09:05:00,2024-12-19 10:05:00,46311,Moderada
EVRG,2022-12-19 09:30:00,2024-12-19 09:40:00,40459,Moderada
NFLX,2022-12-19 06:05:00,2024-12-19 10:15:00,58952,Alta
MKC,2022-12-19 09:30:00,2024-12-19 10:10:00,40614,Moderada
HII,2022-12-19 09:30:00,2024-12-19 09:55:00,37283,Baja
BLK,2022-12-19 09:30:00,2024-12-19 09:15:00,40477,Moderada
